review,aspects,opinions,aspect_categories,length
运行速度流畅无比 不愧a13仿生,速度,"流畅,不愧",性能,16
待机时间一天一充没问题,"待机时间,问题",,续航,11
外形外观之前一直用的国产安卓手机这是我的第一个苹果手机之所以选择了苹果11是因为喜欢这个薰衣草紫色的颜色手机到了之后跟预想的差不多很喜欢这个颜色淡淡的很漂亮,"外形,外观,国产,安卓,手机,苹果,手机,苹果,紫色,颜色,手机,颜色,很漂亮",,外观,78
拍照效果对比了一下苹果XS果然像素更高画质更清晰这点很满意,"效果,苹果,像素,高画质",清晰,拍照,29
运行速度真的是一入苹果的坑就出不来了对比我之前的安卓手机苹果iOS系统果然不是盖的反应很快一点也不卡机,"速度,苹果,坑,安卓,手机,苹果,系统,卡机",,"性能,系统",51
待机时间目前感觉电池够用充电一晚白天都不用充电了而且很有特色的是居然还有电池学习模式,"待机时间,感觉,电池,特色,电池,模式",,续航,42
这点值得称赞不会因为充电时间过长而降低使用寿命了,"时间,过长,使用寿命",,其他,24
遇上活动了很满意,,,其他,8
双十二的时候下单买的便宜四百元刚刚激活的时候确实是一个暖手宝后来用起来就没有发热的情况第一次买苹果的手机使用起来很流畅过渡动画做的比安卓的手机好很多买之前感觉屏幕的分辨率有点难以接受连18都没有不过正常的距离观看并没有明显的颗粒感屏幕的色调调教的很好lcd的屏幕不是很伤眼睛相机拍出来的照片成片效果很好很清晰电池的电量很耐用中度使用也够用一天了充电速度吐槽一下五福一安在网上看了其他的18瓦的充电器虽然便宜很多但是质量可能不过关就买了原装的充电器和数据线充电速度一下子提升了几个档次京东物流速度很快12号中午下单晚上就到了购物体验很棒,"双,时候,下单,时候,暖手,宝,情况,苹果,手机,动画,比安卓,手机,感觉,屏幕,分辨率,有点,连,距离,颗粒感,屏幕,色调,屏幕,眼睛,照片,成片,效果,电池,电量,中度,速度,瓦,充电器,质量,原装,充电器,数据线,速度,档次,京东,物流,速度,下单,购物,体验","便宜,激活,确实,流畅,明显,很好,清晰,耐用,便宜,很棒","性能,续航,服务,屏幕,拍照",267
外形外观哈哈红色是我的最爱哦不错颜色很亮丽,"外形,外观,红色,颜色","最爱,不错,亮丽",外观,21
屏幕音效屏幕很顺滑音效也不错尤其是玩游戏的时候,"屏幕,音效,屏幕,音效,玩游戏,时候",不错,屏幕,23
拍照效果拍照非常棒的现在出门一律手机拍照,"效果,手机",,其他,20
运行速度苹果手机的运行速度还是很不错的只要你不升级系统,"速度,苹果,手机,速度,系统",不错,"性能,系统",27
待机时间待机还可以吧,"待机时间,待机",,续航,10
外形外观外观简洁大方有档次,"外形,外观,外观,大方,档次",简洁,外观,13
拍照效果很清晰有很多功能,"效果,功能",清晰,其他,12
运行速度苹果手机不用说的很流畅很流畅,"速度,苹果,手机","流畅,流畅",性能,18
待机时间电池方面新手机都很耐用,"待机时间,电池,方面",耐用,续航,15
其他特色苹果手机 就是高端大气上档次,"特色,苹果,手机,高端,大气",,其他,18
屏幕音效屏幕完整音效很棒,"屏幕,音效,屏幕,音效","完整,很棒",屏幕,12
苹果手机还是一如既往的好用不管打游戏还是看电影 我都很是喜欢,"苹果,手机,电影",,其他,30
外形外观高大上色彩饱满手感好,"外形,外观,色彩,手感",高大,"外观,屏幕",14
屏幕音效音效特别棒自带的耳机也比以前好,"屏幕,音效,音效,自带,耳机",,屏幕,19
拍照效果比上一代有较大的提高,效果,较大,其他,14
运行速度不愧是A13比上一代处理器快很多,"速度,处理器",不愧,性能,20
待机时间充满一次电正常使用23天没问题,"待机时间,电,问题",充满,续航,19
其他特色外观颜色丰富总有一个颜色适合你,"特色,外观,颜色,颜色",丰富,外观,19
外形外观外观精致挺漂亮的喔,"外形,外观,外观","精致,漂亮",外观,13
屏幕音效立体声非常漂亮,"屏幕,音效",漂亮,屏幕,11
拍照效果夜景比XR提升不少,"效果,夜景",,其他,13
运行速度A13速度快毋容置疑的,"速度,速度",,性能,15
其他特色紫色新出的好看啦,"特色,紫色",,其他,12
待机时间虽然说电池没安卓机的大但待机也不错,"待机时间,电池,卓机,待机",不错,续航,21
用了这么久了说一下心得1外形手感上和xr同级对比xr的黑边见窄2相机方面给100分无可挑剔3运行速度毕竟是13代处理器跟上一代比优势很大4待机时间上基本操作不玩游戏的情况下每天充一次电就够用主要看你怎么用5价位跟上一代比5499算是良心价了总体来说很满意推荐大家购买,"外形,手感,黑边,方面,速度,代,处理器,优势,待机时间,基本操作,玩游戏,情况,电,价位,价,总体,大家","很大,良心","外观,续航,性能,系统",133
这次的iphone11值得购买尤其是拍摄方面有很大的提升夜景模式我测试了细节清楚全程自动识别杜比全景声空间感很强手感和X差不多手感特别好颜色很喜欢大小刚合适拿着上当次 屏幕音效也特别好特别喜欢拍照效果也特别好特别清楚运行速度那就没的说特别快待机时间也可以那得根据自己的使用时间来说了这款机子颜色特别多刚好能好好选择颜色我就选择了白色因为我喜欢白色双十一买的价格特别合适推荐大家购买 简直可以的没法说了 光滑圆润有质感不像传说中那么大比Max更适合女孩子使用被人诟病的屏幕黑边我觉的在可以接受的范围屏幕显示真的很清晰画质也很细腻IOS 系统比安卓系统更安全实实在在的真香机实时互动上手更快面部解锁非常快ios13有深色的界面可以省电一些新机基本出去用一天可以电量蛮持久的中途不需要充电宝在充电之类整体性价比很高了,"方面,夜景,模式,细节,全程,自动识别,全景,声,空间感,手感,手感,颜色,屏幕,音效,效果,速度,待机时间,时间,机子,颜色,颜色,白色,白色,价格,大家,圆润,质感,传说,女孩子,诟病,屏幕,黑边,我觉,范围,屏幕显示,画质,系统,比安卓,系统,真香,机,深色,界面,省,电,新机,基本,电量,宝,整体,性价比","很大,清楚,合适,清楚,合适,光滑,清晰,细腻,安全,持久","性能,外观,续航,价格,系统,屏幕",355
外形外观外观说实话大黑边确实不美观,"外形,外观,外观,大黑",确实,外观,17
屏幕音效声音很好浑厚,"屏幕,音效,声音",浑厚,屏幕,10
拍照效果足够满足日常使用平时拍的不多,效果,,其他,18
运行速度那就一个字快两个字流畅,"速度,字,字",流畅,性能,15
待机时间一天中度使用没问题,"待机时间,中度,问题",,续航,13
其他特色以前没用过苹果第一感觉挺好,"特色,苹果,感觉",,其他,17
用了一周才来评价的首先说下苹果的face ID 解锁瞬间解锁用了一段时间face ID 自带记忆功能就算你再戴个眼镜也能辨别出开启软件的速版也是很快这一点跟旧手机比较显而易见,"评价,苹果,自带,记忆,功能,眼镜,软件,速版,手机",,其他,87
苹果手机收到了送给孩子的想买黑色没货了就选了黄色的收到很惊喜很喜欢尺寸正好外观漂亮颜值很高黄色很漂亮颜色大赞很好用拍照效果好运行速度快物超所值拿在手里的感觉很好京东很给力头一天晚上订货第二天就到货了物流很给力一如既往的好,"苹果,手机,孩子,黑色,黄色,尺寸,外观,颜值,黄色,很漂亮,颜色,大赞,效果,速度,感觉,京东,力头,订货,物流,力","惊喜,正好,漂亮","外观,服务,性能",110
外形外观好看手感好,"外形,外观,手感",,外观,9
运行速度运行超快,速度,,性能,8
待机时间待机时间也强化了很多这是值得肯定的,"待机时间,待机时间",,续航,21
拍照效果可以,效果,,其他,6
屏幕音效音效得劲,"屏幕,音效,音效,劲",,屏幕,8
外形外观美极了不拿到手只看网上图片感受完全不同,"外形,外观,手,图片","完全,不同",外观,23
屏幕音效可以的,"屏幕,音效",,屏幕,7
拍照效果Emmmm一如既往,效果,,其他,13
待机时间有待测试,待机时间,,续航,8
其他特色打开盒子看到这个充电头我就放心了,"特色,盒子,头",,其他,20
外形外观苹果的外观依旧漂亮的一塌糊涂外观看起来感觉就是好双面玻璃不锈钢的机身钢琴烤漆的手感无敌握起来很有质感,"外形,外观,苹果,外观,外观,感觉,双面,玻璃,不锈钢,机身,钢琴,烤漆,手感,质感",漂亮,外观,54
屏幕音效音效非常棒苹果在这方面做的一直都很好,"屏幕,音效,音效,苹果",,屏幕,22
拍照效果苹果的拍照一如既往地好虽然数据没有国产机出众但是效果在那里的,"效果,苹果,地好,数据,国产机,出众,效果",,其他,34
外形外观绿色的外观真的超级nice很小清新摄像头改后的样子也很酷,"外形,外观,绿色,外观,摄像头,样子","很小,清新,很酷","外观,拍照",32
待机时间待机时间感觉有明显的曾长耗电量没有x那么快了充电速度也可以感觉蛮快的,"待机时间,待机时间,感觉,耗电量,速度,感觉","明显,蛮快","续航,性能",38
运行速度反应很快打游戏一点也不卡平时用就起来很顺手,"速度,卡",,性能,25
拍照效果屏幕效果很棒,"效果,屏幕,效果",很棒,屏幕,10
总体而言还是很满意的值得入手,,,其他,14
第二次在京东自营店购买苹果手机用序列号查询了是全新正品在京东自营店购买苹果手机还是比较有保障的浅绿色的外观很新颖拍照效果很好分辨率很高外观是玻璃面板美观时尚运行速度很流畅以后还会考虑在京东购买手机,"京东,店,苹果,手机,序列号,正品,京东,店,苹果,手机,浅绿色,外观,效果,分辨率,外观,玻璃,面板,时尚,速度,京东,手机","新颖,流畅","外观,屏幕,性能",98
外形外观真心好看 老婆很喜欢 颜色舒服,"外形,外观,老婆,颜色",舒服,外观,19
屏幕音效从6sp升上来的 表示没有区别 不像网上说的大颗粒,"屏幕,音效,区别,大,颗粒",,屏幕,29
拍照效果广角和夜拍都是惊喜 比6sp强太多了 清晰很多 当然6sp也清晰,"效果,广角","惊喜,清晰,清晰",其他,36
运行速度最新的处理器 速度太棒了 各种操作无需等待,"速度,处理器,速度,太棒了",,性能,25
待机时间待机时间还不错 关键是支持快充了 搭配18w的充电宝 根本不担心待机问题,"待机时间,待机时间,关键,宝,待机,问题","不错,根本",续航,40
其他特色我本人用的iphonex 老婆是6sp升到11 我俩都很满意11 真香机果然名不虚传 日常使用看不出lcd屏和oled屏的区别 果然真香,"特色,老婆,机,区别,真香",,其他,72
手感和X差不多光滑圆润有质感不像传说中那么大比之前略厚一点点比Max更适合女孩子使用无碍被人诟病的屏幕黑边我觉的在可以接受的范围屏幕显示真的很清晰画质也很细腻IOS系统比安卓系统更安全实实在在的真香机实时互动上手更快无操作难度这就是iPhone,"手感,圆润,质感,传说,女孩子,诟病,屏幕,黑边,我觉,范围,屏幕显示,画质,系统,比安卓,系统,真香,机","光滑,清晰,细腻,安全","屏幕,系统",122
外形设计个人觉得比xr好看点手机有点重屏幕反应很快拍照效果很清晰总之这手机很喜欢就对了双十一购买的非常划算,"外形,个人,手机,有点,屏幕,效果,手机",清晰,"外观,屏幕",53
外形外观外观很喜欢 边角圆润 握感舒适,"外形,外观,外观,边角,圆润",舒适,外观,19
屏幕音效屏幕很清晰 显示很惊艳 不刺眼,"屏幕,音效,屏幕","清晰,惊艳",屏幕,19
拍照效果苹果这次多夜拍进步很大啊 快追上某为了,"效果,苹果",很大,其他,23
运行速度运行速度很快 打游戏也不卡 A13处理器很厉害,"速度,速度,卡,处理器",厉害,性能,27
待机时间待机时间还可以 比较能接受 一天两重,"待机时间,待机时间",,续航,22
其他特色绿色特别的好看呀 满分好评,"特色,绿色",,其他,17
外形外观紫色的玻璃屏特别好看 特别通透的感觉,"外形,外观,紫色,玻璃,屏,感觉",,外观,22
屏幕音效屏幕手感好,"屏幕,音效,屏幕,手感",,屏幕,9
拍照效果夜晚拍出来的颜色特别好看 完全不用其他的相机,"效果,颜色",完全,外观,26
运行速度超级流畅 开什么软件都特别快不会卡,"速度,软件,卡",流畅,性能,21
待机时间没算过 但是电池挺耐用,"待机时间,电池",耐用,续航,15
其他特色真的超级好看,特色,,其他,10
外观神仙色紫色,"外观,神仙,紫色",,外观,7
拍照真的强大,,强大,其他,6
运行完全没问题,问题,完全,其他,7
超长待机睡前充满电第二天下午六点还有一半电,"待机,电,电",充满,续航,21
61英寸屏幕颜值神仙超适合女生,"英寸,屏幕,颜值,神仙,女生",,"外观,屏幕",15
绿色的很漂亮老婆喜欢运行速度一流显示效果不错音质一流拍照效果进步很大尤其夜拍很棒待机时间也比以前长不少65寸由于是全面屏感觉也不是太大手感很好只是还是没有快冲有些遗憾总体非常满意,"绿色,很漂亮,老婆,速度,一流,效果,音质,一流,效果,待机时间,全面,屏,感觉,手感,总体","不错,很大,很棒,遗憾","外观,续航,性能",89
外形外观很好看啊黑色庄重大气,"外形,外观,黑色,大气",庄重,外观,14
屏幕音效亲测很棒,"屏幕,音效",很棒,屏幕,8
拍照效果相比iPhonexr提高不错对比iPhone11pro稍差,效果,不错,其他,33
运行速度速度快就是不一样想象中那样好,"速度,速度,想象",,性能,18
待机时间个人感觉很棒,"待机时间,个人感觉",很棒,续航,10
给妈妈买的手机她的iPhone6也该换了一直舍不得换给她买了iPhone11吧还不敢给她说真实价格只敢说最近双十一京东很便宜就4000左右才接受的哎父母越大越心疼这些我也心疼他们这样哈哈妈妈用得开心就好还说拍照不错速度也快买苹果没有别的原因就是希望他们用的省心不卡上一步也是iPhone数据备份那些也很方便连屏保都一样的备份了在京东买东西就是舒服,"妈妈,手机,价格,京东,父母,妈妈,速度,苹果,原因,省心,不卡,数据备份,连,备份,京东,东西","便宜,心疼,心疼,不错,方便,舒服","价格,性能",173
外形外观外型没什么特别大的变化这次选了紫色的很漂亮,"外形,外观,紫色,很漂亮",,外观,25
屏幕音效没感觉有什么特殊的变化感觉还不错,"屏幕,音效,感觉,感觉","特殊,不错",屏幕,20
拍照效果跟前面的几款比较没有特别明显的提升,效果,明显,其他,21
运行速度运行速度很快这个要赞,"速度,速度",,性能,14
待机时间待机时间长了不少第一次充满电用了两天,"待机时间,待机时间,电用",充满,续航,22
其他特色1111减了300块,特色,,其他,14
外形外观买的中国红感觉偏酒红不过很好看很时尚,"外形,外观,中国,感觉,偏酒,红,时尚",,外观,22
屏幕音效屏幕还不错声音很带劲,"屏幕,音效,屏幕,声音",不错,屏幕,14
拍照效果超广角镜头很给力,"效果,广角镜头,力",,其他,12
运行速度很流畅用的移动的卡信号满满的没有信号差的问题,"速度,卡,信号,信号,问题",流畅,性能,26
待机时间目前还在使用中不过用起来电池很耐用,"待机时间,电池",耐用,续航,21
手感刚刚好重要也是特别适合我的感受屏幕颜色很舒服重要说的就是音响效果很好有点低音的感觉手机反应也很快有很流畅 值得拥有一台哦 很满意,"手感,屏幕,颜色,音响效果,有点,低音,感觉,手机","重要,舒服,重要,流畅","外观,屏幕",66
双十一买的两台非常好和对象一人一台用的还不错优惠也有第二部没有优惠,对象,不错,其他,33
外形外观61英寸全面屏视觉效果超级棒,"外形,外观,英寸,全面,屏,视觉效果",,外观,18
屏幕音效音效清脆悦耳动听有种环绕音乐感觉,"屏幕,音效,音效,音乐,感觉",,屏幕,20
拍照效果配备广角超广角摄像头拍照完美夜间拍照效果更是杠杠的,"效果,广角,摄像头,效果,杠杠",完美,拍照,29
运行速度新一代A13处理器运行速度更流畅,"速度,处理器,速度",流畅,性能,20
待机时间待机时间更长相比上一代iPhone,"待机时间,待机时间",,续航,21
iphone11手机屏幕显示鲜艳细腻A13处理器反应灵敏速度快手感不重电池续航够用拍照清晰快速尤其夜间拍照颠覆性的进化卡通头像功能多样智能识别技术先进老人也好用玻璃背板高大上京东送货快购物好体验,"手机,屏幕显示,处理器,灵敏,速度,手感,电池,续航,头像,功能,智能,技术,老人,玻璃,背板,京东,购物,体验","鲜艳,细腻,清晰,先进,高大","性能,续航,屏幕",97
外形外观外形继承了苹果传统样式外观简洁大方,"外形,外观,外形,苹果,传统,样式,外观,大方",简洁,外观,21
运行速度A13运行速度畅快,"速度,速度",畅快,性能,13
屏幕音效音效提升明显,"屏幕,音效,音效",明显,屏幕,10
待机时间待机时间最近几天用下来还算满意不打游戏的情况,"待机时间,待机时间,情况",,续航,26
拍照效果拍照也有了很大的提升弥补了拍照不足的劣势相对上一代苹果机,"效果,劣势,苹果机","很大,不足",其他,32
其他特色综合很满意苹果真香系列性价比很高,"特色,苹果,真香,性价比",,价格,20
iPhone 11在外观上沿袭自iPhone XR正面采用一块61英寸LCD屏幕分辨率为1792x828顶部为熟悉的Face ID刘海,"外观,英寸,屏幕,分辨率,刘海",正面,"外观,屏幕",67
iPhone 11的摄像头模组被双摄占据多出的一颗超广角镜头位于主摄下方同时苹果的LOGO被移至后壳中部下半部分的iPhone标志被取消,"摄像头,模组,广角镜头,苹果,后壳,部分,标志",,拍照,68
拿到快递时第一感觉比较重 结果上手手感非常不错 不轻也不重 剩下的以后再评,"时,感觉,结果,手,手感","不错,不重",其他,37
外形外观苹果手机这次是换了第三个了自从开始用第一苹果手机之后就一直都是用苹果手机别的品牌实在是用不惯了在外形外观设计风格理念上苹果手机品牌产品一直是比较简单大气的款式既不张扬却个性十足,"外形,外观,苹果,手机,苹果,手机,苹果,手机,品牌,外形,外观设计,风格,理念,苹果,手机,品牌,产品,大气,款式,张扬,个性",,外观,92
屏幕音效苹果11目前屏幕比之前的大了所以更加清晰,"屏幕,音效,苹果,屏幕",清晰,屏幕,24
拍照效果拍照片拍好后的效果非常的好因为选的大容量所以储存也多,"效果,拍照片,效果,大容量,储存",,拍照,30
运行速度运行的速度比以前的处理器更加的快很好用,"速度,速度,处理器",很好,性能,23
待机时间现在的待机时间和之前的苹果手机相比较越来越长,"待机时间,待机时间,苹果,手机",,续航,26
其他特色颜色非常之多也都十分的好看各个颜色搭配上十分的靓丽色彩绚丽多姿,"特色,颜色,颜色,色彩",靓丽,"外观,屏幕",35
首先来说整体外观特别漂亮黑色的身体特别好显得特别大气屏幕感觉挺不错的肉眼看不到颗粒感名字也比较好边框有点宽可能黑色的比较明显吧从总体来说很好习惯就好了拍照特别清楚满足日常需求基本没问题电池也可以差不多能待一天重度使用就不好说了手机运行很流畅快递很快总体来说很满意相信京东自营,"整体,外观,黑色,身体,大气,屏幕,感觉,肉眼,颗粒感,名字,边框,有点,黑色,总体,习惯,基本,问题,电池,重度,手机,总体,京东","漂亮,明显,清楚,流畅","外观,续航,屏幕",137
外形外观外观很大气外形看着特别细致,"外形,外观,外观,气,外形","很大,细致",外观,17
屏幕音效屏幕大小合适一只手也能操作音效好声音很有穿透力,"屏幕,音效,屏幕,手,音效,声音,穿透力",合适,屏幕,27
拍照效果拍照效果超出想象很多模式还有对焦方式外出游玩的时候很有用得,"效果,效果,想象,模式,方式,游玩,时候",,其他,33
运行速度运行速度不用多说反应很快给力,"速度,速度,力",,性能,18
待机时间跟把玩的时间有关系看视频听音乐一天可以了,"待机时间,时间,关系,视频,音乐",,续航,24
其他特色有了手机更好达到宅男的境界,"特色,手机,境界",,其他,17
打会视频或者玩弄的时间稍微两三个小时手机挺热的运行速度苹果大家都知道的很好,"视频,时间,小时,手机,速度,苹果,大家",很好,性能,37
外形外观很好看啊颜色清秀小女孩用用很好看,"外形,外观,颜色,小女孩",清秀,外观,20
屏幕音效无杂音,"屏幕,音效,杂音",,屏幕,7
待机时间待机时间一般苹果的待机时间吧,"待机时间,待机时间,苹果,待机时间",一般,续航,18
其他特色苹果的隐私保护挺好的一直喜欢苹果的简单,"特色,苹果,苹果",简单,其他,23
第一次用苹果手机很喜欢非常流程电量也不错一天基本够用拍照很非常棒,"苹果,手机,流程,电量,基本",不错,其他,32
运行速度运行流畅比安卓好很多,速度,"流畅,卓好",性能,14
屏幕音效音效对得起钱,"屏幕,音效,音效,钱",,屏幕,10
外形外观黑边框还好接受,"外形,外观,边框",,外观,11
待机时间软件底层计算很好省电,"待机时间,软件,底层,省,电",,续航,14
外形外观比图片好看拿到手真的特别好看,"外形,外观,图片,手",,外观,18
待机时间掉电特别慢就是充电也挺慢的大概3个多小时才充满,"待机时间,小时","挺慢,充满",续航,27
屏幕音效声音特别大音效感觉特别好,"屏幕,音效,声音,音效,感觉",,屏幕,16
运行速度运行速度挺快的很流畅,"速度,速度",流畅,性能,14
其他特色很喜欢想要紫色的一直没货就买的白色拿到手真的比图片好看多了很喜欢手机挺沉的,"特色,紫色,白色,手,图片,手机",挺沉,其他,41
拍照效果拍照挺好的,效果,,其他,9
屏幕音效屏幕很好比原来的7好多了用起来很舒服玩游戏看电影都很好,"屏幕,音效,屏幕,玩游戏,电影",舒服,屏幕,31
拍照效果广角镜头提升很大能照很多的幅度拍照提升很大满分,"效果,广角镜头,能照,幅度","很大,很大",其他,27
外形外观边框停航母浴霸摄像头,"外形,外观,边框,航母,浴霸,摄像头",,"外观,拍照",14
运行速度A13还是很流畅的用起来很好一点卡顿都没有,"速度,用",流畅,性能,25
还是选择了iphone11面容ID非常的方便手机运行很流畅原先的6s已经用了4年多了感觉还能再战就当作备用机吧,"面容,手机,感觉,备用机","方便,流畅",其他,55
几经周折总算买到了我喜欢的绿色外形外观漂亮大方拍照效果无可挑剔的强大音响效果和我前期的苹果好了许多运行速度超级快13太强大了人脸识别完全感觉不到停留时间屏幕的操控非常流畅待机时间一天足足有余总体和我之前的7简直好太多了,"几经周折,总算,绿色,外形,外观,大方,效果,音响效果,苹果,速度,人脸识别,感觉,屏幕,待机时间,总体","漂亮,强大,完全,流畅","外观,续航,屏幕,性能",109
外形外观手感很棒 这个颜色比较小众,"外形,外观,手感,颜色",很棒,外观,17
屏幕音效音质很好现实也不错,"屏幕,音效,音质,现实",不错,屏幕,13
拍照效果相机很强大比8拍照清楚多了,效果,"强大,清楚",其他,17
运行速度切换后台以及各种操作丝滑流畅反应很快,"速度,后台,丝滑",流畅,性能,22
待机时间待机时间感觉一般吧没有想象中的好,"待机时间,待机时间,感觉,想象",一般,续航,20
苹果11薄荷绿颜色非常的好看清新很舒服用新了最新的A13芯片各项大型的APP游戏都不在话下用的感觉超级快新手机的电池续航能力也是非常的棒基本正常使用游戏视频音乐一天没有问题而且面部识别标超级快用起来很是方便识别也非常灵敏双摄像头广角用的也还行各方面都优秀,"苹果,薄荷,颜色,芯片,游戏,感觉,电池,续航,能力,基本,游戏,视频,音乐,问题,标,灵敏,双,摄像头,广角,方面","清新,舒服,方便,优秀","外观,拍照,续航,性能",127
外形外观新一代的iPhone11比上一代XR没有什么大的区别区别在于摄像头的浴霸三摄 看起来更大气 长广角镜头 拍照更完美,"外形,外观,区别,区别,摄像头,霸,大气,广角镜头",完美,"外观,拍照",61
屏幕音效屏幕依旧是全面屏61英寸和上一代无异依旧是是全面人脸识别 扬声器也在上一代有了改进,"屏幕,音效,屏幕,全面,屏,英寸,全面,人脸识别",无异,屏幕,45
拍照效果三摄超广角你懂的比较今年苹果发布会一半时间在讲摄相头,"效果,苹果,发布会,时间,摄相头",,其他,30
运行速度就像那句广告废话一样苹果11系列是现在最强战机A13系统 杠杠硬就是一个字 贼快,"速度,广告,废话,苹果,战机,系统,杠杠,字,贼",最强,"性能,系统",44
待机时间取消了3D touch 在续航方面比上一代长一个小时,"待机时间,续航,方面,小时",,续航,30
其他特色反正遵循数科方面 买新不买旧的原则双十一5699 值得购买并且京东保证正品 物流贼快 大件都上京东,"特色,数科,方面,原则,京东,正品,流贼,大件,京东",,其他,53
老妈的iPhone6P用了快4年了该换了而且她喜欢拍照iPhone11性能和价格正好合适而且网上看了很多评论虽然有信号不好的毛病但是老人家并不太在意这个用习惯的系统还是苹果的正好双十一活动返利不少就买下了老妈很满意,"老妈,性能,价格,评论,信号,毛病,老人家,习惯,系统,苹果,老妈","正好,合适,正好","性能,价格,系统",107
第一次用苹果手机感觉很好比安卓好多了就是打游戏要重新开始了很烦哈哈哈哈 现在这手机用的贼爽一点也不卡 比安卓好多了 喜欢的朋友可以感觉买不过我是原价买的这就很烦了人家双十一都是领券买的 比我便宜多了 太烦了 这 总体感觉还是非常不错的 下次继续,"苹果,手机,感觉,安卓,手机,贼,爽,卡,比安卓,朋友,感觉,原价,人家,领券,总体,感觉","重新,很烦,很烦,便宜,太烦,不错",其他,122
外形外观好,"外形,外观",,外观,5
屏幕音效推荐给你们,"屏幕,音效",,屏幕,9
拍照效果清晰完美,效果,"清晰,完美",其他,8
运行速度非常好,速度,,性能,7
待机时间够长没办法,"待机时间,办法",,续航,9
其他特色反应超快,特色,,其他,8
外形外观logo很大气 刘海屏幕 背面双摄大气上档次,"外形,外观,气,刘海,屏幕,大气",很大,"外观,屏幕",26
屏幕音效触控灵敏 色彩对比度亮度恰到好处 音效立体 还原真实的色彩和声音,"屏幕,音效,灵敏,色彩,亮度,音效,立体,色彩,声音",,屏幕,36
拍照效果实况照片 细节清晰可辨 夜拍尤其出色 广角和超广角拍照清晰 比其他品牌手机拍照要高出一个档次,"效果,实况,照片,细节,广角,品牌手机,档次","清晰,清晰",拍照,50
运行速度丝毫不卡顿 系统设计合理 seri语音识别很实用,"速度,系统,语音",,"性能,系统",28
待机时间正常使用偶尔看视频玩游戏 打电话 可以用一到两天不用充电 锁屏后几个小时不使用电量几乎没有损耗,"待机时间,视频,玩游戏,小时,用电量,损耗",,续航,51
其他特色系统很人性化 用起来很舒服 侧边静音键方便可靠,"特色,系统,人性化,静音,键","舒服,方便",系统,27
买到了心心念念的紫色非常喜欢的颜色用起来手感也非常好运行速度很快拍照功能强大耳机和充电器是一个口总之很喜欢是正品京东果然很给力双十一购买有优惠送货速度特别快晚上购买第二天上午就送到了,"心心念念,紫色,颜色,手感,速度,耳机,充电器,正品,京东,力,速度",,"外观,续航,性能",91
外形外观外观完美握感舒适机身正面设计iPhone 11 Pro和iPhone 11 Pro Max给人的第一观感与上代机型几乎完全没有区别同样的OLED材质同样的窄边框设计还有同样的刘海,"外形,外观,外观,机身,观感,机型,区别,材质,边框,刘海","完美,舒适,正面,完全",外观,93
拍照效果手机拍照摄像头的问题对比起以前来说这款手机的摄像头不仅增加了而且在拍照的时候更加灵敏并且在夜间拍摄的时候会更加自然解决了在拍照方面存在的一些问题苹果的这个功能非常的强大所以选择购买这个手机,"效果,手机,摄像头,问题,手机,摄像头,时候,灵敏,时候,方面,问题,苹果,功能,手机",强大,拍照,98
运行速度采用的A13处理器和苹果iOS系统匹配起来性能超级稳定对比起来对比之前用的安卓系统的一些手机品牌来说还是很有竞争力的最起码在玩手机的时候是绝对不会卡顿的这也是苹果手机一个最大的优点了不然它也不可能一直在手机市场上面有这么长的寿命,"速度,处理器,苹果,系统,性能,安卓,系统,手机,品牌,竞争力,玩,手机,时候,苹果,手机,优点,手机,市场,寿命","稳定,最大","性能,系统",118
待机时间视频播放最长可达17小时流媒体视频播放最长可达10小时音频播放最长可达65小时这个真是赞,"待机时间,视频,小时,流媒体,视频,小时,音频,小时","最长,最长,最长",续航,48
外形外观1英寸大小可以说单手持握非常舒服摄像头外观第一眼看上去有些突兀但是很有特点黑边相对xr略有减小推荐买黑色 完美解决黑边问题,"外形,外观,英寸,单,摄像头,外观,特点,黑色,问题","舒服,完美","外观,拍照",65
运行速度a13处理器运行速度不用多说真的不只是用流就可以评价的各种操作可以用顺滑来形容,"速度,处理器,速度,用流,评价,形容",,性能,43
其他特色完美契合airpods pro有兴趣的同志们可以入手,"特色,兴趣,同志",完美,其他,30
屏幕音效色彩非常饱满操作反馈也很清晰,"屏幕,音效,色彩",清晰,屏幕,18
外形外观非常漂亮白色非常耐看而已比较百搭,"外形,外观,白色","漂亮,耐看",外观,20
屏幕音效屏幕大音效好绝对没有问题,"屏幕,音效,屏幕,音效,问题",,屏幕,16
拍照效果非常出色模式也增加了很多拍照功能异常强大,"效果,模式,功能",强大,其他,24
运行速度非常快没有任何卡顿用了好几年苹果系统确实没有任何问题,"速度,苹果,系统,问题",确实,"性能,系统",30
待机时间很强大一天没有问题,"待机时间,问题",强大,续航,13
其他特色总的来说很好很强大就是信号弱一般情况没啥问题只是特色环境比较弱京东服务和配送速度也很快非常赞,"特色,信号,情况,问题,特色,环境,京东,速度","强大,一般",性能,50
外形外观除了颜色有了更多的选择和摄像头模组的变化以外几乎与 xR 一样非常的熟悉背面玻璃是镜面质感这是与Pro系列的磨砂质感的区别,"外形,外观,颜色,摄像头,模组,玻璃,镜面,质感,磨砂,质感,区别",,"外观,拍照",65
